TrainShape:(1182, 864) #EPOCH: ([17, 75], 100, 'bert', 0.001, 64) AVG: 0.7771164021164023 F1: 0.7760108137000983
TrainShape:(1182, 864) #EPOCH: ([17, 76], 100, 'bert', 0.001, 64) AVG: 0.7632275132275135 F1: 0.7619068016473327
TrainShape:(1182, 864) #EPOCH: ([17, 77], 100, 'bert', 0.001, 64) AVG: 0.7665343915343916 F1: 0.7650951786059923
TrainShape:(1182, 864) #EPOCH: ([17, 78], 100, 'bert', 0.001, 64) AVG: 0.7744708994708994 F1: 0.7722012760252435
TrainShape:(1182, 864) #EPOCH: ([17, 79], 100, 'bert', 0.001, 64) AVG: 0.7731481481481481 F1: 0.7722931610710455
TrainShape:(1182, 864) #EPOCH: ([17, 80], 100, 'bert', 0.001, 64) AVG: 0.7731481481481481 F1: 0.7721302495611012
TrainShape:(1182, 864) #EPOCH: ([17, 81], 100, 'bert', 0.001, 64) AVG: 0.7870370370370371 F1: 0.7858565343504041
TrainShape:(1182, 864) #EPOCH: ([17, 82], 100, 'bert', 0.001, 64) AVG: 0.765873015873016 F1: 0.7647743319104184
TrainShape:(1182, 864) #EPOCH: ([17, 83], 100, 'bert', 0.001, 64) AVG: 0.7810846560846563 F1: 0.7795394137506342
TrainShape:(1182, 864) #EPOCH: ([17, 84], 100, 'bert', 0.001, 64) AVG: 0.7711640211640213 F1: 0.7699532033280057
TrainShape:(1182, 864) #EPOCH: ([17, 85], 100, 'bert', 0.001, 64) AVG: 0.7671957671957673 F1: 0.7661286611835708
TrainShape:(1182, 864) #EPOCH: ([17, 86], 100, 'bert', 0.001, 64) AVG: 0.7705026455026456 F1: 0.7693039456442875
TrainShape:(1182, 864) #EPOCH: ([17, 87], 100, 'bert', 0.001, 64) AVG: 0.7691798941798942 F1: 0.7679443833429658
TrainShape:(1182, 864) #EPOCH: ([17, 88], 100, 'bert', 0.001, 64) AVG: 0.7797619047619048 F1: 0.778146202637251
TrainShape:(1182, 864) #EPOCH: ([17, 89], 100, 'bert', 0.001, 64) AVG: 0.7824074074074074 F1: 0.7814742401968451
TrainShape:(1182, 864) #EPOCH: ([17, 90], 100, 'bert', 0.001, 64) AVG: 0.7757936507936507 F1: 0.7752843854969811
TrainShape:(1182, 864) #EPOCH: ([17, 91], 100, 'bert', 0.001, 64) AVG: 0.7731481481481481 F1: 0.7720003019264767
TrainShape:(1182, 864) #EPOCH: ([17, 92], 100, 'bert', 0.001, 64) AVG: 0.7771164021164022 F1: 0.7757162917751899
TrainShape:(1182, 864) #EPOCH: ([17, 93], 100, 'bert', 0.001, 64) AVG: 0.7685185185185185 F1: 0.7669969245453901
TrainShape:(1182, 864) #EPOCH: ([17, 94], 100, 'bert', 0.001, 64) AVG: 0.7612433862433863 F1: 0.7605982235289453
TrainShape:(1182, 864) #EPOCH: ([17, 95], 100, 'bert', 0.001, 64) AVG: 0.7738095238095237 F1: 0.7731259685945617
TrainShape:(1182, 864) #EPOCH: ([17, 96], 100, 'bert', 0.001, 64) AVG: 0.7705026455026455 F1: 0.7684968894099384
