TrainShape:(1182, 837) #EPOCH: ([], 200, 'bert', 0.001, 128, 0.3, 32) AVG: 0.7254899658745813 VAR: 0.0011060767902408616 F1: 0.7182950330504668 SEED: 23423
TrainShape:(1182, 837) #EPOCH: ([], 200, 'bert', 0.001, 128, 0.5, 32) AVG: 0.7399502207194515 VAR: 0.0006162478581578214 F1: 0.7374462028524803 SEED: 23423
TrainShape:(1182, 837) #EPOCH: ([], 200, 'bert', 0.001, 128, 0.7, 32) AVG: 0.7274349582041889 VAR: 0.0010061413266812412 F1: 0.725305846322931 SEED: 23423
TrainShape:(1182, 837) #EPOCH: ([], 200, 'bert', 0.001, 256, 0.3, 32) AVG: 0.7083646410569487 VAR: 0.0022986168954215822 F1: 0.695269051077559 SEED: 23423
TrainShape:(1182, 837) #EPOCH: ([], 200, 'bert', 0.001, 256, 0.5, 32) AVG: 0.727431044738737 VAR: 0.000836689810260071 F1: 0.7206766042633289 SEED: 23423
TrainShape:(1182, 837) #EPOCH: ([], 200, 'bert', 0.001, 256, 0.7, 32) AVG: 0.7366785636016405 VAR: 0.000611012751184654 F1: 0.7346510854051699 SEED: 23423
TrainShape:(1182, 837) #EPOCH: ([], 200, 'bert', 0.001, 512, 0.3, 32) AVG: 0.6958650324034941 VAR: 0.0034233951521052968 F1: 0.6799970056466219 SEED: 23423
TrainShape:(1182, 837) #EPOCH: ([], 200, 'bert', 0.001, 512, 0.5, 32) AVG: 0.712959049497511 VAR: 0.0005203310142946446 F1: 0.7050387909274941 SEED: 23423
TrainShape:(1182, 837) #EPOCH: ([], 200, 'bert', 0.001, 512, 0.7, 32) AVG: 0.7326829153752231 VAR: 0.0007477271752690616 F1: 0.7311874321218474 SEED: 23423
TrainShape:(1182, 837) #EPOCH: ([], 200, 'bert', 0.0001, 128, 0.3, 32) AVG: 0.7458908612754767 VAR: 0.0003742194825273485 F1: 0.7449391779456533 SEED: 7616
TrainShape:(1182, 837) #EPOCH: ([], 200, 'bert', 0.0001, 128, 0.5, 32) AVG: 0.742599636830406 VAR: 0.0006628114931164059 F1: 0.7415475529791798 SEED: 7616
TrainShape:(1182, 837) #EPOCH: ([], 200, 'bert', 0.0001, 128, 0.7, 32) AVG: 0.7406076829153752 VAR: 0.00033873778170654854 F1: 0.7388784405656147 SEED: 7616
TrainShape:(1182, 837) #EPOCH: ([], 200, 'bert', 0.0001, 256, 0.3, 32) AVG: 0.7511153376537991 VAR: 0.0005339470952753127 F1: 0.7496761460279695 SEED: 7616
TrainShape:(1182, 837) #EPOCH: ([], 200, 'bert', 0.0001, 256, 0.5, 32) AVG: 0.7425761560376944 VAR: 0.0003056582412329664 F1: 0.7404743076827093 SEED: 7616
TrainShape:(1182, 837) #EPOCH: ([], 200, 'bert', 0.0001, 256, 0.7, 32) AVG: 0.7471783914091605 VAR: 0.0005892887357932272 F1: 0.745484593092967 SEED: 7616
TrainShape:(1182, 837) #EPOCH: ([], 200, 'bert', 0.0001, 512, 0.3, 32) AVG: 0.7511544723083186 VAR: 0.0007220679468248913 F1: 0.7491481233757834 SEED: 7616
TrainShape:(1182, 837) #EPOCH: ([], 200, 'bert', 0.0001, 512, 0.5, 32) AVG: 0.7498317209855672 VAR: 0.0006466810831769783 F1: 0.748616625670479 SEED: 7616
TrainShape:(1182, 837) #EPOCH: ([], 200, 'bert', 0.0001, 512, 0.7, 32) AVG: 0.7439145612222536 VAR: 0.00099454449512128 F1: 0.7421610598112788 SEED: 7616
