TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 64, 0.5) AVG: 0.7498434613819229 VAR: 0.0007743741123554391 F1: 0.748534575123434 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 64, 0.6) AVG: 0.7524811370965216 VAR: 0.0005070344698938768 F1: 0.751543320889408 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 128, 0.1) AVG: 0.753807801884725 VAR: 0.0007850469159240378 F1: 0.7523253099049688 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 128, 0.2) AVG: 0.7537999749538211 VAR: 0.0007278666535938965 F1: 0.7520917786951061 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 128, 0.3) AVG: 0.7623665508280895 VAR: 0.0007278117945050722 F1: 0.7603335230593244 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 128, 0.4) AVG: 0.7544652640806487 VAR: 0.000567585855394146 F1: 0.7528269234168463 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 128, 0.5) AVG: 0.7584061237907391 VAR: 0.001053683481154925 F1: 0.7570467961401349 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 128, 0.6) AVG: 0.749831720985567 VAR: 0.0006941080059967533 F1: 0.7488872983992483 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 256, 0.1) AVG: 0.7491742587896435 VAR: 0.0010370035920449785 F1: 0.7467688687267748 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 256, 0.2) AVG: 0.7445720234181772 VAR: 0.0005635253639085232 F1: 0.7424903488833816 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 256, 0.3) AVG: 0.7518158479696941 VAR: 0.0005070190321603386 F1: 0.7493031197259195 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 256, 0.4) AVG: 0.7478632478632479 VAR: 0.00033513444929445115 F1: 0.7461786855353413 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 256, 0.5) AVG: 0.7505009235778467 VAR: 0.0005154421536308334 F1: 0.7489502895505377 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 256, 0.6) AVG: 0.7524733101656178 VAR: 0.0005418073214497154 F1: 0.751324384626832 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 512, 0.1) AVG: 0.7419382611690304 VAR: 0.0011280739064898806 F1: 0.7402310788744012 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 512, 0.2) AVG: 0.7504970101123948 VAR: 0.0008573693894646236 F1: 0.7488076472988121 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 512, 0.3) AVG: 0.7366707366707366 VAR: 0.0007098270187156434 F1: 0.7344236658346175 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 512, 0.4) AVG: 0.747213612598228 VAR: 0.00037676765810428165 F1: 0.7455351970010198 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 512, 0.5) AVG: 0.7452412260104567 VAR: 0.0006011396773480946 F1: 0.7426923725408358 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 512, 0.6) AVG: 0.7504930966469429 VAR: 0.0007070040882382387 F1: 0.7485478469101712 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.001, 64, 0.1) AVG: 0.7393044989198836 VAR: 0.0005215737518444678 F1: 0.7375279342532011 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.001, 64, 0.2) AVG: 0.7419226073072227 VAR: 0.0006545971179833367 F1: 0.7406751424632022 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.001, 64, 0.3) AVG: 0.7465404965404966 VAR: 0.0003030895126417401 F1: 0.7455926233918657 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.001, 64, 0.4) AVG: 0.7471940452709683 VAR: 0.00037781371770361053 F1: 0.7465763837230357 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.001, 64, 0.5) AVG: 0.7511544723083187 VAR: 0.0005358905343973964 F1: 0.7498525064967432 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.001, 64, 0.6) AVG: 0.7472331799254878 VAR: 0.0008113425220507263 F1: 0.7455753107533314 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.001, 128, 0.1) AVG: 0.7379621802698725 VAR: 0.0009989759516681755 F1: 0.7364456558531192 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.001, 128, 0.2) AVG: 0.7386157290003443 VAR: 0.0005640759764047177 F1: 0.7377540965609587 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.001, 128, 0.3) AVG: 0.7406076829153753 VAR: 0.000532974518062408 F1: 0.738988418984976 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.001, 128, 0.4) AVG: 0.7458595535518613 VAR: 0.00047659567013760915 F1: 0.7450610107798816 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.001, 128, 0.5) AVG: 0.7498199805892113 VAR: 0.0003880179064202251 F1: 0.7488617195819258 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.001, 128, 0.6) AVG: 0.7524576563038102 VAR: 0.0005101117247791523 F1: 0.751014017578429 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.001, 256, 0.1) AVG: 0.7406115963808271 VAR: 0.00044704895084079707 F1: 0.7388951641589949 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.001, 256, 0.2) AVG: 0.7392575373344603 VAR: 0.0008277271645067552 F1: 0.7372887097543654 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.001, 256, 0.3) AVG: 0.743891080429542 VAR: 0.0006307872013692603 F1: 0.7425887832036584 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.001, 256, 0.4) AVG: 0.7333716852947623 VAR: 0.0005788974870791585 F1: 0.7321222223454126 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.001, 256, 0.5) AVG: 0.7425605021758868 VAR: 0.0007585594408233753 F1: 0.74157889757625 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.001, 256, 0.6) AVG: 0.7570872859334398 VAR: 0.00029071892594902576 F1: 0.7555919854902484 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.001, 512, 0.1) AVG: 0.7425722425722425 VAR: 0.000728859906342789 F1: 0.7415930177645893 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.001, 512, 0.2) AVG: 0.7498356344510191 VAR: 0.001255016337135894 F1: 0.7470063331806363 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.001, 512, 0.3) AVG: 0.7505165774396545 VAR: 0.0006461173914898695 F1: 0.748673928200096 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.001, 512, 0.4) AVG: 0.7412729720422029 VAR: 0.0004631526204203466 F1: 0.7387506102412907 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.001, 512, 0.5) AVG: 0.7418912995836072 VAR: 0.0007809028033817491 F1: 0.7403573941120809 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.001, 512, 0.6) AVG: 0.7498278075201152 VAR: 0.00042229022622259683 F1: 0.7486627249576088 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0005, 64, 0.1) AVG: 0.7465248426786888 VAR: 0.00038180905827805235 F1: 0.7458487492294161 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0005, 64, 0.2) AVG: 0.7491625183932876 VAR: 0.0006533705839276444 F1: 0.7482960533188346 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0005, 64, 0.3) AVG: 0.7406272502426349 VAR: 0.0005232907708746567 F1: 0.7399511323892001 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0005, 64, 0.4) AVG: 0.7458908612754767 VAR: 0.0008643983978314338 F1: 0.7446607169596594 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0005, 64, 0.5) AVG: 0.7458947747409286 VAR: 0.0011306031218345513 F1: 0.7441122340690128 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0005, 64, 0.6) AVG: 0.7485363639209793 VAR: 0.0009966865725409722 F1: 0.7466184959520732 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0005, 128, 0.1) AVG: 0.7386274693967001 VAR: 0.0006299732284902054 F1: 0.7376502641582855 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0005, 128, 0.2) AVG: 0.7373125450048527 VAR: 0.0005147816391744497 F1: 0.7363999686613043 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0005, 128, 0.3) AVG: 0.7491664318587394 VAR: 0.00048808544836678465 F1: 0.7484588160347088 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0005, 128, 0.4) AVG: 0.7557606211452366 VAR: 0.0005736460847205902 F1: 0.7549194236189047 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0005, 128, 0.5) AVG: 0.7491781722550953 VAR: 0.0007016596000220848 F1: 0.7477812258242307 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0005, 128, 0.6) AVG: 0.7445524560909177 VAR: 0.0007143436278403873 F1: 0.743245178307665 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0005, 256, 0.1) AVG: 0.7333482045020507 VAR: 0.0008195125749607208 F1: 0.7324042379362851 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0005, 256, 0.2) AVG: 0.7392653642653643 VAR: 0.0006820957952611748 F1: 0.7380129201780982 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0005, 256, 0.3) AVG: 0.7452177452177451 VAR: 0.0004947624825350108 F1: 0.7436348681391153 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0005, 256, 0.4) AVG: 0.7432179643718105 VAR: 0.0006646305727183207 F1: 0.7419542721937845 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0005, 256, 0.5) AVG: 0.7438871669640901 VAR: 0.000641161909654539 F1: 0.7428730197529592 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0005, 256, 0.6) AVG: 0.7491586049278357 VAR: 0.00044620796192805116 F1: 0.7482719572411826 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0005, 512, 0.1) AVG: 0.7399071725994804 VAR: 0.0009608459444154113 F1: 0.7386886743600313 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0005, 512, 0.2) AVG: 0.7333325506402429 VAR: 0.0007189577948645745 F1: 0.7321103610626611 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0005, 512, 0.3) AVG: 0.739918912995836 VAR: 0.0011257241547975912 F1: 0.7387128998043503 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0005, 512, 0.4) AVG: 0.7392497104035565 VAR: 0.0010819154507758263 F1: 0.7382317807124787 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0005, 512, 0.5) AVG: 0.7465209292132369 VAR: 0.0004616725277173748 F1: 0.745176295816642 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0005, 512, 0.6) AVG: 0.7524537428383582 VAR: 0.000559177865352952 F1: 0.7510638291431415 SEED: 4419
