TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0005, 512, 0.3, 32) AVG: 0.7557684480761404 VAR: 0.0004079448042235194 F1: 0.7536526568607985 SEED: 26068
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0005, 128, 0.5, 32) AVG: 0.7583943833943834 VAR: 0.0004255378168939964 F1: 0.7564765997283269 SEED: 26068
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0005, 256, 0.5, 32) AVG: 0.7531307723615417 VAR: 0.0006840094309810115 F1: 0.749306703722627 SEED: 26068
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0005, 512, 0.5, 32) AVG: 0.7636619078926771 VAR: 0.00015800532528490103 F1: 0.7611644351734855 SEED: 26068
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0005, 128, 0.7, 32) AVG: 0.7584061237907391 VAR: 0.0004979151495234033 F1: 0.7568076397409749 SEED: 26068
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0005, 256, 0.7, 32) AVG: 0.7551109858802165 VAR: 0.00052448498983336 F1: 0.7533874737770607 SEED: 26068
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0005, 512, 0.7, 32) AVG: 0.7577564885257194 VAR: 0.00038263022930667447 F1: 0.7554575594970929 SEED: 26068
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.001, 128, 0.3, 32) AVG: 0.7511427319119626 VAR: 0.00053383299694708 F1: 0.7478825637073518 SEED: 26068
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.001, 256, 0.3, 32) AVG: 0.7596780000626153 VAR: 0.00030563949541367056 F1: 0.7578831748433063 SEED: 26068
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.001, 512, 0.3, 32) AVG: 0.7524498293729063 VAR: 0.0007088345929881887 F1: 0.7511053738123764 SEED: 26068
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.001, 128, 0.5, 32) AVG: 0.7524654832347141 VAR: 0.0004897855287726758 F1: 0.7497546835798933 SEED: 26068
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.001, 256, 0.5, 32) AVG: 0.7570794590025359 VAR: 0.00047311691165864575 F1: 0.7551440192924181 SEED: 26068
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.001, 512, 0.5, 32) AVG: 0.7603511161203469 VAR: 0.0004534195888808845 F1: 0.7580190235595147 SEED: 26068
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.001, 128, 0.7, 32) AVG: 0.7446072446072446 VAR: 0.0008028353200672125 F1: 0.7423757907630036 SEED: 26068
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.001, 256, 0.7, 32) AVG: 0.7518432422278576 VAR: 0.0005255864598691403 F1: 0.7493571472919538 SEED: 26068
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.001, 512, 0.7, 32) AVG: 0.7452373125450049 VAR: 0.000664317039701463 F1: 0.7429343646122314 SEED: 26068
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.0001, 128, 0.3, 32) AVG: 0.7504735293196831 VAR: 0.0005991569393924207 F1: 0.7493541367299223 SEED: 14212
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.0001, 256, 0.3, 32) AVG: 0.7597171347171348 VAR: 0.0006053632758398518 F1: 0.7582775383023628 SEED: 14212
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.0001, 512, 0.3, 32) AVG: 0.7584022103252873 VAR: 0.0003129590027187281 F1: 0.7568269687185939 SEED: 14212
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.0001, 128, 0.5, 32) AVG: 0.7537647537647537 VAR: 0.0009027847204696111 F1: 0.7524972176851208 SEED: 14212
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.0001, 256, 0.5, 32) AVG: 0.7616856078394539 VAR: 0.0006080233443545129 F1: 0.7603487557048609 SEED: 14212
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.0001, 512, 0.5, 32) AVG: 0.7518197614351461 VAR: 0.00030206682405568277 F1: 0.7506871652822434 SEED: 14212
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.0001, 128, 0.7, 32) AVG: 0.7517962806424344 VAR: 0.0006380305001801852 F1: 0.7505247333594115 SEED: 14212
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.0001, 256, 0.7, 32) AVG: 0.7524693967001658 VAR: 0.0005785639217652088 F1: 0.7511587523205283 SEED: 14212
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.0001, 512, 0.7, 32) AVG: 0.7537764941611095 VAR: 0.0011059619261520352 F1: 0.7523534425868773 SEED: 14212
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.0005, 128, 0.3, 32) AVG: 0.7471862183400645 VAR: 0.0003660988058603376 F1: 0.745379038843169 SEED: 14212
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.0005, 256, 0.3, 32) AVG: 0.7610320591089823 VAR: 0.000324094754510931 F1: 0.7589619203977408 SEED: 14212
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.0005, 512, 0.3, 32) AVG: 0.7484854888701042 VAR: 0.0006025512804237036 F1: 0.7464114441118738 SEED: 14212
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.0005, 128, 0.5, 32) AVG: 0.7570990263297955 VAR: 0.00040221584292924993 F1: 0.7549635836361396 SEED: 14212
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.0005, 256, 0.5, 32) AVG: 0.7524693967001659 VAR: 0.00045665214001425225 F1: 0.7501966226420058 SEED: 14212
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.0005, 512, 0.5, 32) AVG: 0.7478475940014402 VAR: 0.00043547212094750376 F1: 0.7452964996074244 SEED: 14212
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.0005, 128, 0.7, 32) AVG: 0.7511583857737705 VAR: 0.0004657223598155556 F1: 0.749633738886277 SEED: 14212
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.0005, 256, 0.7, 32) AVG: 0.7505244043705582 VAR: 0.0006739917202838025 F1: 0.7490365378543307 SEED: 14212
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.0005, 512, 0.7, 32) AVG: 0.7445681099527253 VAR: 0.0004166208104719731 F1: 0.7426029154211546 SEED: 14212
