TrainShape:(1182, 768) #EPOCH: ([], 200, 'only_bert', 0.0001, 128, 0.5) AVG: 0.7405998559844714 VAR: 0.000624348380006047 F1: 0.7398360403697488 SEED: 24733
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 128, 0.5) AVG: 0.7564767853229392 VAR: 0.002053650939637843 F1: 0.754890257402077 SEED: 27625
TrainShape:(1182, 768) #EPOCH: ([], 200, 'only_bert', 0.0001, 128, 0.5) AVG: 0.7630670611439843 VAR: 0.001890582037752423 F1: 0.7617505154659722 SEED: 27625
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 128, 0.5) AVG: 0.750477442785135 VAR: 0.0013032468797515176 F1: 0.7475485948694109 SEED: 14860
TrainShape:(1182, 768) #EPOCH: ([], 200, 'only_bert', 0.0001, 128, 0.5) AVG: 0.7537647537647537 VAR: 0.0011160898144832476 F1: 0.7521080504186454 SEED: 14860
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 128, 0.5) AVG: 0.7485246235246236 VAR: 0.0010585776408820334 F1: 0.7466523873227767 SEED: 3483
TrainShape:(1182, 768) #EPOCH: ([], 200, 'only_bert', 0.0001, 128, 0.5) AVG: 0.7491703453241915 VAR: 0.0016570948945061799 F1: 0.7475867362378344 SEED: 3483
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 128, 0.5) AVG: 0.7544574371497449 VAR: 0.00042259944034971596 F1: 0.7530798515195244 SEED: 21647
TrainShape:(1182, 768) #EPOCH: ([], 200, 'only_bert', 0.0001, 128, 0.5) AVG: 0.7537960614883693 VAR: 0.0005713027654172741 F1: 0.7525530396969741 SEED: 21647
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 128, 0.5) AVG: 0.7570833724679878 VAR: 0.00037345212915314605 F1: 0.7556086855089421 SEED: 10463
TrainShape:(1182, 768) #EPOCH: ([], 200, 'only_bert', 0.0001, 128, 0.5) AVG: 0.7669492188722958 VAR: 0.00018788818285125184 F1: 0.7658269671854663 SEED: 10463
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 128, 0.5) AVG: 0.7557801884724962 VAR: 0.002005942278180997 F1: 0.7531943679150449 SEED: 2263
TrainShape:(1182, 768) #EPOCH: ([], 200, 'only_bert', 0.0001, 128, 0.5) AVG: 0.761689521304906 VAR: 0.001905024711346704 F1: 0.7596060229660527 SEED: 2263
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 128, 0.5) AVG: 0.7531542531542531 VAR: 0.0012200857388980691 F1: 0.7523933821170276 SEED: 4377
TrainShape:(1182, 768) #EPOCH: ([], 200, 'only_bert', 0.0001, 128, 0.5) AVG: 0.7610594533671456 VAR: 0.0012010909555179889 F1: 0.7602283412432697 SEED: 4377
