,Kincaid,ARI,Coleman-Liau,FleschReadingEase,GunningFogIndex,LIX,SMOGIndex,RIX,DaleChallIndex,characters_per_word,syll_per_word,words_per_sentence,sentences_per_paragraph,type_token_ratio,characters,syllables,words,wordtypes,sentences,paragraphs,long_words,complex_words,complex_words_dc,tobeverb,auxverb,conjunction,pronoun,preposition,nominalization,interrogative,article,subordination
/home/lucas/Lux/res/readability/input_texts/433.txt,18.518587155963306,22.666880733944957,11.355479633027524,39.949807339449556,23.128073394495416,69.28807339449541,16.638181696985853,11.2,11.73841779816514,4.73394495412844,1.4495412844036697,43.6,1.0,0.6743119266055045,1032,316,218,147,5,5,56,31,82,8,2,0,0,1,8,0,1,2
/home/lucas/Lux/res/readability/input_texts/434.txt,13.382974238875878,16.74959601873536,9.255461840163932,61.19762295081969,16.565807962529274,56.168618266978925,11.28078671210825,7.428571428571429,10.542463466042154,4.405737704918033,1.3032786885245902,34.857142857142854,1.0,0.569672131147541,1075,318,244,139,7,7,52,16,80,7,9,0,0,0,1,0,0,0
/home/lucas/Lux/res/readability/input_texts/435.txt,12.969680851063831,15.272978723404258,14.090862787234045,43.932500000000026,16.634042553191488,62.861702127659576,14.291589790636214,9.25,13.117046808510638,5.297872340425532,1.6436170212765957,23.5,1.0,0.6223404255319149,996,309,188,117,8,8,74,34,99,7,3,0,0,1,5,0,0,1
/home/lucas/Lux/res/readability/input_texts/436.txt,12.401282051282053,15.905000000000001,13.440453858974358,52.46038461538464,19.630769230769232,58.05128205128205,16.41640786499874,8.333333333333334,11.606484615384616,5.166666666666667,1.5128205128205128,26.0,1.0,0.8461538461538461,403,118,78,66,3,3,25,18,33,2,0,0,1,0,1,0,0,0
/home/lucas/Lux/res/readability/input_texts/437.txt,15.005309136948728,17.856403601322363,12.20299356277696,44.901516494337784,19.1581627628895,58.825982978124784,15.30563169563316,8.571428571428571,11.136351473587958,4.918759231905465,1.5273264401772526,32.23809523809524,1.0,0.47858197932053176,3330,1034,677,324,21,21,180,106,253,17,5,0,2,3,15,0,4,2
/home/lucas/Lux/res/readability/input_texts/438.txt,30.915048353283293,38.725465205924124,10.88905679748428,10.4473706634206,35.43666734293637,98.4868465544059,19.402202841829393,16.580645161290324,13.636089098532496,4.6046121593291405,1.39832285115304,76.93548387096774,1.0,0.3807127882599581,10982,3335,2385,908,31,31,514,278,934,68,26,3,2,8,39,3,0,3
/home/lucas/Lux/res/readability/input_texts/439.txt,14.918127340823972,18.5240418227216,8.63876694101124,58.55970661672911,19.754806491885148,55.566791510611736,13.801234497346433,6.333333333333333,9.679017353308366,4.283707865168539,1.2780898876404494,39.55555555555556,1.0,0.5898876404494382,1525,455,356,210,9,9,57,35,92,6,5,0,1,0,5,0,0,0
/home/lucas/Lux/res/readability/input_texts/440.txt,29.654459459459463,36.812736486486486,10.318290476351354,14.256756756756772,32.43783783783784,90.89189189189189,15.549900398011133,12.5,13.121460810810811,4.510135135135135,1.3885135135135136,74.0,1.0,0.6283783783783784,1335,411,296,186,4,4,50,21,109,10,4,0,0,0,3,0,0,1
/home/lucas/Lux/res/readability/input_texts/441.txt,16.25852879027998,20.30463990139109,13.574450759112523,40.93475215706993,19.790843458355347,64.69105476316253,15.315302134607444,10.38888888888889,12.181721482655398,5.1394611727416795,1.5404120443740095,35.05555555555556,1.0,0.5451664025356577,3243,972,631,344,18,18,187,91,272,19,5,0,0,3,15,0,5,0
/home/lucas/Lux/res/readability/input_texts/442.txt,144.8974373259053,183.94220055710306,16.41501464066853,-304.36281337047353,150.56378830083565,392.1476323119777,46.30127018922193,119.0,29.7337495821727,5.493036211699164,1.7353760445682451,359.0,1.0,0.5835654596100278,3944,1246,718,419,2,2,238,125,377,15,5,0,0,0,4,0,0,0
