TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 128, 0.8, 32] AVG: 0.7379817475971322 VAR: 0.0003907526825382579 F1: 0.7358862705486595 SEED: 1146
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 128, 0.8, 32] AVG: 0.738639209793056 VAR: 0.0005896125606324458 F1: 0.7364127294335916 SEED: 1146
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 128, 0.5, 32] AVG: 0.7373086315394007 VAR: 0.000585770464067708 F1: 0.734225425819553 SEED: 1146
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 128, 0.5, 32] AVG: 0.7432375316990703 VAR: 0.0003965049535849547 F1: 0.741523837137152 SEED: 1146
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 512, 0.7, 32] AVG: 0.7425918098995021 VAR: 0.0007175199415158682 F1: 0.7396277371949371 SEED: 2396
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 512, 0.7, 32] AVG: 0.7392614507999123 VAR: 0.0006931775149859934 F1: 0.7372750187776119 SEED: 2396
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 128, 0.8, 32] AVG: 0.7445759368836291 VAR: 0.0005912122651399148 F1: 0.7407368025706399 SEED: 2396
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 128, 0.8, 32] AVG: 0.7412729720422029 VAR: 0.0007143620367250236 F1: 0.7396565273422718 SEED: 2396
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 128, 0.5, 32] AVG: 0.7406155098462791 VAR: 0.0005145989593275812 F1: 0.7388655168480153 SEED: 2396
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 128, 0.5, 32] AVG: 0.7366276885507655 VAR: 0.0006705699343928962 F1: 0.7352082537181711 SEED: 2396
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 512, 0.7, 32] AVG: 0.7379700072007764 VAR: 0.0009510986697289332 F1: 0.7362803156084998 SEED: 1976
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 512, 0.7, 32] AVG: 0.739918912995836 VAR: 0.000836447768652097 F1: 0.7376444009317688 SEED: 1976
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 128, 0.8, 32] AVG: 0.7386157290003443 VAR: 0.00037678373907671666 F1: 0.7365362157773705 SEED: 1976
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 128, 0.8, 32] AVG: 0.7313836448451831 VAR: 0.0007908886278078988 F1: 0.7297167051606248 SEED: 1976
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 128, 0.5, 32] AVG: 0.7300843743151435 VAR: 0.0005459265314575469 F1: 0.7268291277878148 SEED: 1976
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 128, 0.5, 32] AVG: 0.7425800695031461 VAR: 0.0008169667885568351 F1: 0.7394045976953991 SEED: 1976
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 512, 0.7, 32] AVG: 0.7386196424657964 VAR: 0.0005853295084883135 F1: 0.7362631717634738 SEED: 31940
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 512, 0.7, 32] AVG: 0.7419617419617421 VAR: 0.0005179521636998521 F1: 0.7399420192499648 SEED: 31940
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0001, 512, 0.3, 32] AVG: 0.7451942644250338 VAR: 0.0005315010721613755 F1: 0.7435077062411642 SEED: 5630
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0001, 512, 0.3, 32] AVG: 0.7537843210920133 VAR: 0.0002891121151832606 F1: 0.7525271202829121 SEED: 5630
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 512, 0.7, 32] AVG: 0.7452216586831972 VAR: 0.0008740585595929467 F1: 0.7419724730038817 SEED: 5630
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 512, 0.7, 32] AVG: 0.7386000751385366 VAR: 0.0011496810974453648 F1: 0.7366981113822347 SEED: 5630
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 128, 0.8, 32] AVG: 0.7373281988666605 VAR: 0.0005048896357360529 F1: 0.735515471443123 SEED: 5630
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 128, 0.8, 32] AVG: 0.745875207413669 VAR: 0.0005456357874759112 F1: 0.744274880714288 SEED: 5630
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 128, 0.5, 32] AVG: 0.7406115963808271 VAR: 0.0008110657455422928 F1: 0.7388812335528899 SEED: 5630
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 128, 0.5, 32] AVG: 0.7386196424657964 VAR: 0.0007168567928430465 F1: 0.7356244730644843 SEED: 5630
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0001, 512, 0.3, 32] AVG: 0.7451942644250338 VAR: 0.0005315010721613755 F1: 0.7435077062411642 SEED: 5630
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0001, 512, 0.3, 32] AVG: 0.7537843210920133 VAR: 0.0002891121151832606 F1: 0.7525271202829121 SEED: 5630
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 512, 0.7, 32] AVG: 0.7452216586831972 VAR: 0.0008740585595929467 F1: 0.7419724730038817 SEED: 5630
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 512, 0.7, 32] AVG: 0.7386000751385366 VAR: 0.0011496810974453648 F1: 0.7366981113822347 SEED: 5630
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 128, 0.8, 32] AVG: 0.7373281988666605 VAR: 0.0005048896357360529 F1: 0.735515471443123 SEED: 5630
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 128, 0.8, 32] AVG: 0.745875207413669 VAR: 0.0005456357874759112 F1: 0.744274880714288 SEED: 5630
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 128, 0.5, 32] AVG: 0.7406115963808271 VAR: 0.0008110657455422928 F1: 0.7388812335528899 SEED: 5630
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 128, 0.5, 32] AVG: 0.7386196424657964 VAR: 0.0007168567928430465 F1: 0.7356244730644843 SEED: 5630
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0001, 512, 0.3, 32] AVG: 0.7451942644250338 VAR: 0.0005315010721613755 F1: 0.7435077062411642 SEED: 5630
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0001, 512, 0.3, 32] AVG: 0.7537843210920133 VAR: 0.0002891121151832606 F1: 0.7525271202829121 SEED: 5630
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 512, 0.7, 32] AVG: 0.7452216586831972 VAR: 0.0008740585595929467 F1: 0.7419724730038817 SEED: 5630
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 512, 0.7, 32] AVG: 0.7386000751385366 VAR: 0.0011496810974453648 F1: 0.7366981113822347 SEED: 5630
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 128, 0.8, 32] AVG: 0.7373281988666605 VAR: 0.0005048896357360529 F1: 0.735515471443123 SEED: 5630
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 128, 0.8, 32] AVG: 0.745875207413669 VAR: 0.0005456357874759112 F1: 0.744274880714288 SEED: 5630
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 128, 0.5, 32] AVG: 0.7406115963808271 VAR: 0.0008110657455422928 F1: 0.7388812335528899 SEED: 5630
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 128, 0.5, 32] AVG: 0.7386196424657964 VAR: 0.0007168567928430465 F1: 0.7356244730644843 SEED: 5630
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0001, 512, 0.3, 32] AVG: 0.7366668232052849 VAR: 0.000266268128980148 F1: 0.7349252604258917 SEED: 27617
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0001, 512, 0.3, 32] AVG: 0.7478828151905075 VAR: 0.0005735891121325317 F1: 0.7465942993551139 SEED: 27617
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 512, 0.7, 32] AVG: 0.742603550295858 VAR: 0.0008304720486646046 F1: 0.7386485005373848 SEED: 27617
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 512, 0.7, 32] AVG: 0.7511583857737704 VAR: 0.0003701252975756687 F1: 0.7489411964332535 SEED: 27617
