v4
complexity = False
TrainsetLen:(1040, 865) #EPOCH: (100, 'bert', 0.001, 128) AVG: 0.6591591591591591 F1: 0.6576220134069541
TrainsetLen:(1040, 865) #EPOCH: (200, 'bert', 0.001, 64) AVG: 0.6539039039039038 F1: 0.6461910878042327
TrainsetLen:(1040, 865) #EPOCH: (200, 'bert', 0.001, 128) AVG: 0.6674174174174174 F1: 0.6666422450679477

V4.1+EM+T2(without weighting)
TrainsetLen:(1040, 865) #EPOCH: (20, 'bert', 0.001, 64) AVG: 0.6599099099099099 F1: 0.6543199340130023
TrainsetLen:(1040, 865) #EPOCH: (20, 'bert', 0.001, 128) AVG: 0.6381381381381381 F1: 0.6251684857545524
TrainsetLen:(1040, 865) #EPOCH: (50, 'bert', 0.001, 64) AVG: 0.6493993993993995 F1: 0.6458235811944708
TrainsetLen:(1040, 865) #EPOCH: (50, 'bert', 0.001, 128) AVG: 0.6644144144144144 F1: 0.6628662820122685
TrainsetLen:(1040, 865) #EPOCH: (100, 'bert', 0.001, 64) AVG: 0.6606606606606606 F1: 0.65657129051869
TrainsetLen:(1040, 865) #EPOCH: (100, 'bert', 0.001, 128) AVG: 0.6531531531531531 F1: 0.6493432338157815
TrainsetLen:(1040, 865) #EPOCH: (200, 'bert', 0.001, 64) AVG: 0.6546546546546546 F1: 0.6532249079607008
TrainsetLen:(1040, 865) #EPOCH: (200, 'bert', 0.001, 128) AVG: 0.6606606606606606 F1: 0.6567151568224381

TrainsetLen:(354, 865) #EPOCH: (20, 'bert', 0.001, 64) AVG: 0.7355555555555555 F1: 0.719528336101281
TrainsetLen:(354, 865) #EPOCH: (20, 'bert', 0.001, 128) AVG: 0.731111111111111 F1: 0.718880078857609
TrainsetLen:(354, 865) #EPOCH: (50, 'bert', 0.001, 64) AVG: 0.7644444444444445 F1: 0.7556720957188969
TrainsetLen:(354, 865) #EPOCH: (50, 'bert', 0.001, 128) AVG: 0.7622222222222222 F1: 0.7512443712119766
TrainsetLen:(354, 865) #EPOCH: (100, 'bert', 0.001, 64) AVG: 0.78 F1: 0.7679756577032022
TrainsetLen:(354, 865) #EPOCH: (100, 'bert', 0.001, 128) AVG: 0.7822222222222223 F1: 0.7647567122612005
TrainsetLen:(354, 865) #EPOCH: (200, 'bert', 0.001, 64) AVG: 0.78 F1: 0.7717527203019043
TrainsetLen:(354, 865) #EPOCH: (200, 'bert', 0.001, 128) AVG: 0.7755555555555556 F1: 0.7618440116307847
TrainsetLen:(354, 865) #EPOCH: (20, 'bert', 0.001, 64) AVG: 0.7111111111111111 F1: 0.6757117969713738
TrainsetLen:(354, 865) #EPOCH: (20, 'bert', 0.001, 128) AVG: 0.7311111111111113 F1: 0.7000287476615714
TrainsetLen:(354, 865) #EPOCH: (50, 'bert', 0.001, 64) AVG: 0.7533333333333333 F1: 0.7334799324140093
TrainsetLen:(354, 865) #EPOCH: (50, 'bert', 0.001, 128) AVG: 0.7666666666666667 F1: 0.748871011743595
TrainsetLen:(354, 865) #EPOCH: (100, 'bert', 0.001, 64) AVG: 0.78 F1: 0.7646955525575512
TrainsetLen:(354, 865) #EPOCH: (100, 'bert', 0.001, 128) AVG: 0.76 F1: 0.7401592021283796
TrainsetLen:(354, 865) #EPOCH: (200, 'bert', 0.001, 64) AVG: 0.7955555555555557 F1: 0.783750969666247
TrainsetLen:(354, 865) #EPOCH: (200, 'bert', 0.001, 128) AVG: 0.7644444444444445 F1: 0.7453337879197013
TrainsetLen:(354, 865) #EPOCH: (20, 'bert', 0.001, 64) AVG: 0.7355555555555555 F1: 0.7145821908307541
TrainsetLen:(354, 865) #EPOCH: (20, 'bert', 0.001, 128) AVG: 0.7288888888888888 F1: 0.7000300522211962
TrainsetLen:(354, 865) #EPOCH: (50, 'bert', 0.001, 64) AVG: 0.7622222222222221 F1: 0.747271321045586
TrainsetLen:(354, 865) #EPOCH: (50, 'bert', 0.001, 128) AVG: 0.7444444444444445 F1: 0.7206653310665967
